loop time, gbuffer time, shadow time, direct time ,hiz time, ssr time
2071, 495, 35, 9, 80, 6
1852, 496, 34, 9, 83, 31
1868, 496, 35, 8, 80, 6
1853, 496, 35, 9, 80, 6
1866, 498, 34, 8, 80, 6
1865, 496, 35, 9, 80, 6
1864, 497, 35, 9, 80, 6
2075, 496, 35, 9, 80, 6
2073, 497, 35, 8, 80, 6
2050, 498, 35, 8, 81, 6
1879, 498, 35, 9, 80, 6
1849, 496, 34, 8, 80, 6
1886, 499, 34, 8, 80, 6
1848, 496, 34, 9, 80, 6
1878, 498, 34, 8, 80, 6
680, 515, 40, 9, 84, 7
1871, 501, 36, 9, 81, 6
2210, 495, 36, 9, 81, 6
1872, 493, 36, 9, 81, 6
1839, 491, 35, 9, 80, 6
1871, 503, 36, 9, 81, 6
1854, 500, 35, 8, 81, 6
2086, 499, 35, 9, 80, 6
2140, 498, 35, 8, 80, 6
2085, 503, 35, 9, 81, 6
1850, 495, 34, 8, 79, 6
1880, 495, 34, 8, 79, 6
1853, 488, 34, 8, 79, 6
1867, 488, 34, 8, 80, 6
1856, 491, 34, 8, 79, 6
2078, 489, 34, 8, 79, 6
1864, 490, 34, 8, 79, 6
2294, 548, 34, 8, 79, 6
1833, 488, 34, 9, 79, 6
1868, 489, 34, 8, 79, 6
1890, 592, 34, 8, 79, 6
1883, 496, 34, 8, 79, 6
1836, 516, 49, 8, 79, 6
1872, 493, 34, 8, 79, 6
2045, 488, 34, 8, 79, 6
2085, 487, 34, 8, 79, 6
2070, 490, 34, 8, 78, 6
1887, 488, 34, 8, 80, 6
1851, 488, 34, 8, 79, 6
1869, 488, 34, 8, 79, 6
1843, 486, 34, 9, 79, 6
1874, 488, 34, 8, 79, 6
2065, 493, 34, 8, 79, 6
1876, 487, 34, 8, 79, 6
2271, 551, 34, 8, 79, 6
1875, 489, 34, 8, 83, 6
1858, 494, 34, 8, 79, 6
1877, 487, 34, 8, 79, 6
1847, 487, 34, 8, 79, 6
1873, 490, 34, 8, 79, 6
1851, 487, 34, 8, 79, 6
2020, 493, 34, 8, 79, 6
1857, 487, 34, 8, 79, 6
2231, 518, 34, 9, 79, 6
1847, 496, 33, 8, 79, 6
1868, 489, 34, 8, 79, 6
1853, 490, 34, 8, 79, 6
1868, 522, 34, 8, 79, 6
1862, 489, 34, 8, 78, 6
1878, 489, 34, 8, 79, 6
2047, 492, 34, 8, 78, 6
1885, 490, 70, 8, 79, 6
2244, 585, 34, 8, 79, 6
1878, 490, 34, 8, 79, 6
1862, 489, 34, 8, 79, 6
1883, 489, 34, 8, 82, 6
1857, 487, 34, 8, 79, 6
1876, 489, 34, 8, 79, 6
2051, 487, 34, 8, 79, 6
1865, 557, 34, 8, 79, 6
2348, 550, 34, 8, 79, 6
1879, 486, 34, 8, 79, 6
1841, 488, 34, 8, 79, 6
1882, 488, 34, 8, 79, 6
1855, 487, 34, 8, 79, 6
1876, 487, 34, 8, 79, 6
1837, 493, 34, 8, 79, 6
2062, 492, 34, 8, 79, 6
1857, 489, 34, 8, 79, 6
2213, 519, 34, 8, 78, 6
1847, 489, 34, 8, 79, 6
1862, 486, 34, 8, 79, 6
1856, 490, 34, 8, 79, 6
1893, 490, 34, 8, 78, 6
1829, 517, 34, 8, 78, 6
2085, 492, 34, 8, 79, 6
1880, 526, 34, 8, 79, 6
2165, 484, 34, 8, 79, 6
2090, 530, 34, 8, 79, 6
1867, 495, 34, 8, 79, 6
1907, 590, 34, 8, 79, 6
1871, 492, 34, 8, 79, 6
1844, 525, 34, 8, 78, 6
1883, 495, 34, 8, 78, 6
2078, 492, 37, 8, 79, 6
1878, 493, 34, 8, 79, 6
2285, 650, 34, 8, 79, 6
1877, 493, 34, 8, 78, 6
1844, 496, 35, 9, 79, 6
1869, 497, 34, 8, 79, 6
1847, 494, 34, 8, 78, 6
1867, 493, 34, 8, 79, 6
1849, 495, 34, 8, 78, 6
2088, 487, 34, 8, 79, 6
1866, 488, 34, 8, 79, 6
2226, 490, 34, 8, 79, 6
1848, 488, 33, 8, 78, 6
1863, 489, 34, 8, 78, 6
1854, 497, 34, 8, 78, 6
1865, 493, 34, 8, 78, 6
1853, 493, 34, 8, 78, 6
2102, 556, 34, 8, 78, 6
1857, 494, 34, 8, 78, 6
2366, 555, 34, 8, 78, 6
1843, 491, 34, 8, 79, 6
1873, 492, 34, 8, 79, 6
1850, 492, 34, 8, 79, 6
1870, 561, 34, 8, 79, 6
1843, 493, 34, 8, 79, 6
1868, 490, 34, 8, 79, 6
2058, 490, 34, 8, 79, 6
1883, 524, 34, 8, 79, 6
2200, 487, 34, 8, 79, 6
1913, 543, 34, 8, 79, 6
1868, 488, 34, 8, 78, 6
1867, 495, 34, 8, 79, 6
1859, 490, 34, 8, 79, 6
1875, 493, 35, 25, 93, 6
2066, 493, 34, 8, 79, 6
1875, 490, 34, 8, 82, 6
2193, 493, 34, 8, 79, 6
2086, 538, 49, 8, 79, 6
1850, 492, 34, 8, 79, 6
1871, 499, 34, 11, 170, 6
1858, 495, 34, 8, 78, 6
1873, 493, 34, 8, 79, 6
1852, 489, 34, 8, 79, 6
2090, 487, 34, 8, 79, 6
1845, 491, 34, 8, 79, 6
2290, 547, 34, 8, 78, 6
1844, 493, 34, 8, 79, 6
1873, 490, 34, 8, 79, 6
1856, 485, 33, 8, 79, 6
1878, 490, 34, 8, 79, 6
1844, 486, 34, 8, 79, 6
1877, 488, 33, 8, 79, 6
2052, 485, 34, 8, 79, 6
1898, 487, 34, 8, 79, 6
2198, 548, 34, 8, 80, 6
1869, 485, 34, 8, 79, 6
1851, 488, 34, 8, 79, 6
1909, 487, 33, 8, 79, 6
1840, 549, 34, 8, 79, 6
1879, 491, 34, 8, 79, 6
2057, 525, 34, 8, 79, 6
1865, 486, 34, 8, 79, 6
2323, 599, 34, 8, 79, 6
1867, 485, 34, 8, 79, 6
1864, 553, 34, 8, 78, 6
1875, 490, 34, 8, 78, 6
1843, 488, 34, 8, 79, 6
1868, 492, 33, 8, 78, 6
1846, 487, 34, 8, 82, 6
2057, 487, 33, 8, 79, 6
1879, 491, 34, 8, 78, 6
2234, 549, 34, 8, 79, 6
1844, 491, 34, 8, 83, 6
1870, 491, 34, 8, 78, 6
1847, 485, 34, 8, 79, 6
1867, 488, 34, 8, 79, 6
1856, 486, 34, 8, 79, 6
2079, 488, 34, 8, 79, 6
1856, 488, 34, 8, 79, 6
2166, 488, 34, 8, 79, 6
2082, 487, 34, 8, 79, 6
1870, 488, 34, 8, 79, 6
1849, 489, 34, 8, 79, 6
1867, 489, 33, 8, 78, 6
1844, 486, 34, 8, 79, 6
1866, 487, 34, 8, 79, 6
2060, 489, 33, 8, 79, 6
1874, 494, 34, 8, 79, 6
2293, 551, 34, 8, 79, 6
1863, 489, 34, 8, 79, 6
1847, 489, 34, 8, 79, 6
1874, 492, 34, 9, 79, 6
1851, 485, 33, 8, 79, 6
1864, 560, 34, 8, 79, 6
1852, 488, 33, 8, 79, 6
2077, 528, 34, 8, 79, 6
1875, 492, 34, 8, 79, 6
2205, 581, 34, 8, 80, 6
1845, 489, 34, 8, 79, 6
1874, 489, 34, 8, 79, 6
1837, 488, 34, 8, 79, 6
1876, 486, 34, 8, 79, 6
1846, 538, 34, 8, 79, 6
2084, 487, 33, 8, 78, 6
1852, 488, 34, 8, 79, 6
2170, 489, 34, 8, 79, 6
2056, 490, 34, 8, 79, 6
1878, 799, 122, 15, 142, 11
1830, 865, 58, 14, 101, 7
1866, 495, 35, 9, 81, 6
1858, 493, 79, 24, 94, 6
1865, 492, 35, 9, 80, 6
2062, 491, 35, 8, 80, 6
1866, 493, 35, 8, 80, 6
2230, 555, 35, 9, 80, 6
1882, 493, 34, 8, 79, 6
1853, 490, 34, 8, 80, 6
1875, 489, 34, 8, 79, 6
1853, 490, 35, 8, 79, 6
1871, 490, 34, 8, 79, 6
2160, 584, 34, 8, 79, 6
1867, 485, 34, 8, 79, 6
2072, 526, 34, 8, 79, 6
2090, 487, 34, 8, 79, 6
1856, 492, 34, 8, 79, 6
1869, 522, 34, 8, 79, 6
1847, 542, 34, 8, 78, 6
1874, 500, 35, 8, 79, 6
1840, 494, 34, 8, 79, 6
2086, 488, 34, 8, 79, 6
1857, 495, 35, 8, 79, 6
2287, 552, 34, 8, 79, 6
1859, 523, 34, 8, 78, 6
